superclass,subclass
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#ProductToPackagingRatio
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#QualityIndicators
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#RecoverableRate
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#RecycledMaterialsUse
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#RecyclingCollectionRate
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#RecyclingRate
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#Reliability
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#ResourceConsumption
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#SustainableRenewableMaterialsUse
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#Threshold
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#Volume
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#WasteGenerationAmount
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#WaterConsumption
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#Weight
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://dpp.taltech.ee/EUDPP#Width
http://dpp.taltech.ee/EUDPP#ResourceConsumption,http://dpp.taltech.ee/EUDPP#EnergyConsumption
http://dpp.taltech.ee/EUDPP#ResourceConsumption,http://dpp.taltech.ee/EUDPP#LandUse
http://dpp.taltech.ee/EUDPP#ResourceConsumption,http://dpp.taltech.ee/EUDPP#RecycledMaterialsUse
http://dpp.taltech.ee/EUDPP#ResourceConsumption,http://dpp.taltech.ee/EUDPP#SustainableRenewableMaterialsUse
http://dpp.taltech.ee/EUDPP#ResourceConsumption,http://dpp.taltech.ee/EUDPP#WaterConsumption
http://dpp.taltech.ee/EUDPP#WasteGenerationAmount,http://dpp.taltech.ee/EUDPP#HazardousWaste
http://dpp.taltech.ee/EUDPP#WasteGenerationAmount,http://dpp.taltech.ee/EUDPP#PackagingWaste
http://dpp.taltech.ee/EUDPP#WasteGenerationAmount,http://dpp.taltech.ee/EUDPP#PlasticsWaste
