class,annotationProperty,annotationValue
http://dpp.taltech.ee/EUDPP#MicroplasticRelease,http://www.w3.org/2000/01/rdf-schema#comment,"Product parameters
are listed in the ESPR Annex I :

(p) microplastic and nano plastic release as expressed through the r elease during relevant
product life cycle stages, including manufacturing, transport, use and end of life stages;"
http://dpp.taltech.ee/EUDPP#NanoplasticRelease,http://www.w3.org/2000/01/rdf-schema#comment,"Product parameters
are listed in the ESPR Annex I :

(p) microplastic and nano plastic release as expressed through the r elease during relevant
product life cycle stages, including manufacturing, transport, use and end of life stages;"
http://dpp.taltech.ee/EUDPP#PackagingDetail,http://www.w3.org/2000/01/rdf-schema#comment,Details of packaging.
http://dpp.taltech.ee/EUDPP#PackagingWaste,,
http://dpp.taltech.ee/EUDPP#PlasticsRelease,http://www.w3.org/2000/01/rdf-schema#comment,"Product parameters
are listed in
the ESPR Annex I :

(p) microplastic and nano plastic release as expressed through the r elease during relevant
product life cycle stages, including manufacturing, transport, use and end of life stages;"
http://dpp.taltech.ee/EUDPP#PlasticsWaste,,
http://dpp.taltech.ee/EUDPP#Product,http://www.w3.org/2000/01/rdf-schema#comment,Product means any physical goods that are placed on the market or put into service. ESPR Art 2 (1))
http://dpp.taltech.ee/EUDPP#Product,http://www.w3.org/2000/01/rdf-schema#label,Product
http://dpp.taltech.ee/EUDPP#Product,http://www.w3.org/2004/02/skos/core#exactmatch,schema:Product
http://dpp.taltech.ee/EUDPP#ProductToPackagingRatio,http://www.w3.org/2000/01/rdf-schema#comment,"ESPR Annes I, list of product parameters
(j) weight and volume of the product and its packaging, and the product to packaging ratio;"
http://dpp.taltech.ee/EUDPP#QualityIndicators,http://www.w3.org/2000/01/rdf-schema#comment,Product characteristics like durability and reliability.
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://www.w3.org/2000/01/rdf-schema#comment,"A property (respectively measurand of a property) of the product (model) that is expressed by a quantity value. A specific quantity. (VIM 2.3: The specification of a measurand requires knowledge of the kind of quantity, description of the state of the phenomenon, body, or substance carrying the quantity, including any relevant component, and the chemical entities involved.)"
http://dpp.taltech.ee/EUDPP#QuantitativeProductProperty,http://www.w3.org/2000/01/rdf-schema#seeAlso,dcc:measurand
http://dpp.taltech.ee/EUDPP#QuantityKind,http://www.w3.org/2000/01/rdf-schema#comment,"Statement of kind of quantity such as length, mass, time, temperature, concentration of substance, (VIM 1.2: aspect common to mutually comparable quantities)"
http://dpp.taltech.ee/EUDPP#QuantityKind,http://www.w3.org/2000/01/rdf-schema#seeAlso,si:QuantityKind a owl:Class ;
http://dpp.taltech.ee/EUDPP#QuantityRange,http://www.w3.org/2000/01/rdf-schema#comment,Range of quantity value
http://dpp.taltech.ee/EUDPP#QuantityValue,http://www.w3.org/2000/01/rdf-schema#comment,"Expression of the magnitude of a quantity/property by a number (numerical value) and a reference in the form of a unit, a reference material, or a reference procedure. (VIM 1.19: number and reference together expressing magnitude of a quantity)"
http://dpp.taltech.ee/EUDPP#RecoverableRate,,
http://dpp.taltech.ee/EUDPP#RecycledMaterialsUse,,
http://dpp.taltech.ee/EUDPP#Recycling,http://www.w3.org/2000/01/rdf-schema#comment,Recycling instructions of the product.
http://dpp.taltech.ee/EUDPP#RecyclingCollectionRate,,
http://dpp.taltech.ee/EUDPP#RecyclingRate,,
http://dpp.taltech.ee/EUDPP#Refurbishment,http://www.w3.org/2000/01/rdf-schema#comment,Instructions for the refurbishment of the product.
